"ID_Temps","date_transaction","jour","mois","trimestre","annee","date_transaction_reelle"
"1","2007-01-01","1","1","1","2007","Mon Jan 01 16:40:25 GMT+01:00 2007"
"2","2007-01-02","2","1","1","2007","Tue Jan 02 21:28:16 GMT+01:00 2007"
"3","2007-01-03","3","1","1","2007","Wed Jan 03 04:04:04 GMT+01:00 2007"
"4","2007-01-04","4","1","1","2007","Thu Jan 04 20:42:43 GMT+01:00 2007"
"5","2007-01-05","5","1","1","2007","Fri Jan 05 16:59:07 GMT+01:00 2007"
"6","2007-01-06","6","1","1","2007","Sat Jan 06 03:48:40 GMT+01:00 2007"
"7","2007-01-07","7","1","1","2007","Sun Jan 07 07:30:58 GMT+01:00 2007"
"8","2007-01-08","8","1","1","2007","Mon Jan 08 16:38:23 GMT+01:00 2007"
"9","2007-01-09","9","1","1","2007","Tue Jan 09 19:43:22 GMT+01:00 2007"
"10","2007-01-10","10","1","1","2007","Wed Jan 10 02:22:40 GMT+01:00 2007"
"11","2007-01-11","11","1","1","2007","Thu Jan 11 04:38:25 GMT+01:00 2007"
"12","2007-01-12","12","1","1","2007","Fri Jan 12 04:38:26 GMT+01:00 2007"
"13","2007-01-13","13","1","1","2007","Sat Jan 13 05:19:51 GMT+01:00 2007"
"14","2007-01-14","14","1","1","2007","Sun Jan 14 18:21:53 GMT+01:00 2007"
"15","2007-01-15","15","1","1","2007","Mon Jan 15 01:20:58 GMT+01:00 2007"
"16","2007-01-16","16","1","1","2007","Tue Jan 16 06:35:18 GMT+01:00 2007"
"17","2007-01-17","17","1","1","2007","Wed Jan 17 22:30:13 GMT+01:00 2007"
"18","2007-01-18","18","1","1","2007","Thu Jan 18 18:56:08 GMT+01:00 2007"
"19","2007-01-19","19","1","1","2007","Fri Jan 19 10:14:12 GMT+01:00 2007"
"20","2007-01-20","20","1","1","2007","Sat Jan 20 08:41:56 GMT+01:00 2007"
"21","2007-01-21","21","1","1","2007","Sun Jan 21 07:05:05 GMT+01:00 2007"
"22","2007-01-22","22","1","1","2007","Mon Jan 22 00:16:37 GMT+01:00 2007"
"23","2007-01-23","23","1","1","2007","Tue Jan 23 08:19:16 GMT+01:00 2007"
"24","2007-01-24","24","1","1","2007","Wed Jan 24 00:53:35 GMT+01:00 2007"
"25","2007-01-25","25","1","1","2007","Thu Jan 25 16:07:25 GMT+01:00 2007"
"26","2007-01-26","26","1","1","2007","Fri Jan 26 04:29:32 GMT+01:00 2007"
"27","2007-01-27","27","1","1","2007","Sat Jan 27 06:15:14 GMT+01:00 2007"
"28","2007-01-28","28","1","1","2007","Sun Jan 28 13:37:47 GMT+01:00 2007"
