"ID_Product","Product_Name","Ph","Price","Branche","Categorie","Sous_Categorie"
"1","PRODUCT_DB","1","1309","D","Bio","DB"
"2","PRODUCT_CB","1","804","C","Bio","CB"
"3","PRODUCT_CB","1","551","C","Bio","CB"
"4","PRODUCT_DB","5","1221","D","Bio","DB"
"5","PRODUCT_BSB","8","175","B","Semi-Bio","BSB"
"6","PRODUCT_CB","1","890","C","Bio","CB"
"7","PRODUCT_DC","14","1135","D","Chimique","DC"
"8","PRODUCT_CSB","10","914","C","Semi-Bio","CSB"
"9","PRODUCT_BSB","8","145","B","Semi-Bio","BSB"
"10","PRODUCT_BSB","9","300","B","Semi-Bio","BSB"
"11","PRODUCT_DB","3","1468","D","Bio","DB"
"12","PRODUCT_BSB","8","435","B","Semi-Bio","BSB"
"13","PRODUCT_DSB","6","1189","D","Semi-Bio","DSB"
"14","PRODUCT_BB","0","394","B","Bio","BB"
"15","PRODUCT_DB","0","1061","D","Bio","DB"
"16","PRODUCT_DB","5","1443","D","Bio","DB"
"17","PRODUCT_CSB","6","788","C","Semi-Bio","CSB"
"18","PRODUCT_CSB","10","777","C","Semi-Bio","CSB"
"19","PRODUCT_BB","1","280","B","Bio","BB"
"20","PRODUCT_CSB","10","762","C","Semi-Bio","CSB"
"21","PRODUCT_BSB","10","162","B","Semi-Bio","BSB"
"22","PRODUCT_ASB","9","71","A","Semi-Bio","ASB"
"23","PRODUCT_CC","13","621","C","Chimique","CC"
"24","PRODUCT_CSB","7","507","C","Semi-Bio","CSB"
"25","PRODUCT_BB","4","103","B","Bio","BB"
"26","PRODUCT_BSB","7","272","B","Semi-Bio","BSB"
"27","PRODUCT_CB","2","617","C","Bio","CB"
"28","PRODUCT_BB","2","421","B","Bio","BB"
"29","PRODUCT_DB","1","1197","D","Bio","DB"
"30","PRODUCT_DB","5","1157","D","Bio","DB"
"31","PRODUCT_CB","3","818","C","Bio","CB"
"32","PRODUCT_CSB","9","651","C","Semi-Bio","CSB"
"33","PRODUCT_BSB","7","278","B","Semi-Bio","BSB"
"34","PRODUCT_BSB","9","260","B","Semi-Bio","BSB"
"35","PRODUCT_DB","3","1422","D","Bio","DB"
"36","PRODUCT_CSB","6","986","C","Semi-Bio","CSB"
"37","PRODUCT_BSB","9","438","B","Semi-Bio","BSB"
"38","PRODUCT_DC","13","1156","D","Chimique","DC"
"39","PRODUCT_CSB","8","926","C","Semi-Bio","CSB"
"40","PRODUCT_CC","14","748","C","Chimique","CC"
"41","PRODUCT_CC","12","963","C","Chimique","CC"
"42","PRODUCT_BB","0","202","B","Bio","BB"
"43","PRODUCT_DSB","9","1395","D","Semi-Bio","DSB"
"44","PRODUCT_DSB","6","1438","D","Semi-Bio","DSB"
"45","PRODUCT_DB","3","1059","D","Bio","DB"
"46","PRODUCT_BSB","6","194","B","Semi-Bio","BSB"
"47","PRODUCT_DSB","6","1141","D","Semi-Bio","DSB"
"48","PRODUCT_DSB","6","1324","D","Semi-Bio","DSB"
"49","PRODUCT_DB","4","1284","D","Bio","DB"
"50","PRODUCT_CSB","7","583","C","Semi-Bio","CSB"
"51","PRODUCT_DB","0","1437","D","Bio","DB"
"52","PRODUCT_BSB","8","224","B","Semi-Bio","BSB"
"53","PRODUCT_ASB","6","13","A","Semi-Bio","ASB"
"54","PRODUCT_CC","13","821","C","Chimique","CC"
"55","PRODUCT_CSB","7","922","C","Semi-Bio","CSB"
"56","PRODUCT_CB","4","536","C","Bio","CB"
"57","PRODUCT_DSB","9","1281","D","Semi-Bio","DSB"
"58","PRODUCT_DC","12","1298","D","Chimique","DC"
"59","PRODUCT_BB","4","483","B","Bio","BB"
"60","PRODUCT_CC","13","629","C","Chimique","CC"
"61","PRODUCT_DSB","9","1478","D","Semi-Bio","DSB"
"62","PRODUCT_BSB","6","273","B","Semi-Bio","BSB"
"63","PRODUCT_DC","14","1300","D","Chimique","DC"
"64","PRODUCT_CSB","6","944","C","Semi-Bio","CSB"
"65","PRODUCT_CC","11","979","C","Chimique","CC"
"66","PRODUCT_BC","14","334","B","Chimique","BC"
"67","PRODUCT_BB","5","339","B","Bio","BB"
"68","PRODUCT_CB","5","525","C","Bio","CB"
"69","PRODUCT_BSB","8","430","B","Semi-Bio","BSB"
"70","PRODUCT_CC","14","691","C","Chimique","CC"
"71","PRODUCT_BSB","10","120","B","Semi-Bio","BSB"
"72","PRODUCT_BC","14","198","B","Chimique","BC"
"73","PRODUCT_BSB","9","262","B","Semi-Bio","BSB"
"74","PRODUCT_BC","13","224","B","Chimique","BC"
"75","PRODUCT_DC","14","1320","D","Chimique","DC"
"76","PRODUCT_DC","14","1429","D","Chimique","DC"
"77","PRODUCT_BB","3","103","B","Bio","BB"
"78","PRODUCT_CSB","8","644","C","Semi-Bio","CSB"
"79","PRODUCT_AB","3","66","A","Bio","AB"
"80","PRODUCT_DSB","10","1078","D","Semi-Bio","DSB"
"81","PRODUCT_DC","14","1025","D","Chimique","DC"
"82","PRODUCT_DSB","7","1182","D","Semi-Bio","DSB"
"83","PRODUCT_DSB","7","1190","D","Semi-Bio","DSB"
"84","PRODUCT_DC","14","1472","D","Chimique","DC"
"85","PRODUCT_CC","14","799","C","Chimique","CC"
"86","PRODUCT_DC","14","1266","D","Chimique","DC"
"87","PRODUCT_BSB","10","262","B","Semi-Bio","BSB"
"88","PRODUCT_BC","14","359","B","Chimique","BC"
"89","PRODUCT_BSB","8","144","B","Semi-Bio","BSB"
"90","PRODUCT_CSB","9","951","C","Semi-Bio","CSB"
"91","PRODUCT_AB","4","12","A","Bio","AB"
"92","PRODUCT_DC","12","1100","D","Chimique","DC"
"93","PRODUCT_ASB","9","61","A","Semi-Bio","ASB"
"94","PRODUCT_DC","13","1073","D","Chimique","DC"
"95","PRODUCT_CC","12","945","C","Chimique","CC"
"96","PRODUCT_AC","11","5","A","Chimique","AC"
"97","PRODUCT_BC","13","394","B","Chimique","BC"
"98","PRODUCT_BB","2","420","B","Bio","BB"
"99","PRODUCT_CC","14","797","C","Chimique","CC"
"100","PRODUCT_CC","12","620","C","Chimique","CC"
"101","PRODUCT_BSB","10","201","B","Semi-Bio","BSB"
"102","PRODUCT_BSB","8","236","B","Semi-Bio","BSB"
"103","PRODUCT_CB","2","622","C","Bio","CB"
"104","PRODUCT_CB","0","605","C","Bio","CB"
"105","PRODUCT_CSB","6","551","C","Semi-Bio","CSB"
"106","PRODUCT_BB","4","342","B","Bio","BB"
"107","PRODUCT_BSB","9","275","B","Semi-Bio","BSB"
"108","PRODUCT_BC","11","206","B","Chimique","BC"
"109","PRODUCT_BB","1","148","B","Bio","BB"
"110","PRODUCT_CB","3","999","C","Bio","CB"
"111","PRODUCT_CB","5","634","C","Bio","CB"
"112","PRODUCT_ASB","8","94","A","Semi-Bio","ASB"
"113","PRODUCT_DC","12","1304","D","Chimique","DC"
"114","PRODUCT_BSB","6","186","B","Semi-Bio","BSB"
"115","PRODUCT_BC","14","412","B","Chimique","BC"
