date_transaction,Montant,Type
2007-01-31,21349.0,Reel
2007-02-01,14558.0,Reel
2007-02-02,17592.0,Reel
2007-02-03,19447.0,Reel
2007-02-04,17944.0,Reel
2007-02-05,27024.0,Reel
2007-02-06,15296.0,Reel
2007-02-07,17576.0,Reel
2007-02-08,20635.0,Reel
2007-02-09,21099.0,Reel
2007-02-10,30554.0,Reel
2007-02-11,19937.0,Reel
2007-02-12,19735.0,Reel
2007-02-13,17284.0,Reel
2007-02-14,16149.0,Reel
2007-02-15,21930.0,Reel
2007-02-16,16311.0,Reel
2007-02-17,17955.0,Reel
2007-02-18,27431.0,Reel
2007-02-19,20807.0,Reel
2007-02-20,21299.0,Reel
2007-02-21,21489.0,Reel
2007-02-22,17452.0,Reel
2007-02-23,23905.0,Reel
2007-02-24,14607.0,Reel
2007-02-25,15278.0,Reel
2007-02-26,24093.0,Reel
2007-02-27,13391.0,Reel
2007-02-28,19330.0,Reel
2007-03-01,19977.0,Reel
2007-03-02,24294.0,Reel
2007-03-03,17958.0,Reel
2007-03-04,23253.0,Reel
2007-03-05,21349.0,Reel
2007-03-06,22118.0,Reel
2007-03-07,14342.0,Reel
2007-03-08,11634.0,Reel
2007-03-09,13865.0,Reel
2007-03-10,17900.0,Reel
2007-03-11,13745.0,Reel
2007-03-12,19194.0,Reel
2007-03-13,21917.0,Reel
2007-03-14,17807.0,Reel
2007-03-15,26941.0,Reel
2007-03-16,28284.0,Reel
2007-03-17,11193.0,Reel
2007-03-18,11077.0,Reel
2007-03-19,24749.0,Reel
2007-03-20,18647.0,Reel
2007-03-21,16028.0,Reel
2007-03-22,20894.0,Reel
2007-03-23,14968.0,Reel
2007-03-24,15403.0,Reel
2007-03-25,29270.0,Reel
2007-03-26,21483.0,Reel
2007-03-27,24003.0,Reel
2007-03-28,16242.0,Reel
2007-03-29,22092.0,Reel
2007-03-30,12473.0,Reel
2007-03-31,20338.0,Reel
2007-04-01,16914.0,Reel
2007-04-02,21656.0,Reel
2007-04-03,20691.0,Reel
2007-04-04,16625.0,Reel
2007-04-05,28183.0,Reel
2007-04-06,14597.0,Reel
2007-04-07,16138.0,Reel
2007-04-08,11972.0,Reel
2007-04-09,16803.0,Reel
2007-04-10,17785.0,Reel
2007-04-11,18414.0,Reel
2007-04-12,18254.0,Reel
2007-04-13,15517.0,Reel
2007-04-14,17660.0,Reel
2007-04-15,18546.0,Reel
2007-04-16,19699.0,Reel
2007-04-17,25177.0,Reel
2007-04-18,16929.0,Reel
2007-04-19,22284.0,Reel
